passage_id,chapter,section,subsection,heading,page,kind,text_clean,word_count
p0025,Part 3: The Curriculum,Overview,,,16,text,"The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientation. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter-disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners. This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure.",140
p0026,Part 3: The Curriculum,Overview,,,16,text,"The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdisciplinary community will be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students. (2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career. But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work.",157
p0027,Part 3: The Curriculum,Overview,,,16,text,"The dual structure is also flexible, to accommodate a variety of student goals and outcomes. Some students might choose to pursue a less deep path in the disciplinary specialization while focusing more on developing broad expertise in the questions underlying the interdisciplinary community— and in that case the outcome can be a powerful kind of integrative education for students whose goal is not graduate school or specialized study, which is where a great many careers and life paths lie. This approach allows for a highly integrative, team-based approach to problem solving and knowledge acquisition. For students oriented towards graduate study, the integrative and out-looking approach in the interdisciplinary community broadens and enriches their deeper specialist expertise. Our strong expectation is that a student with deep expertise who also has interacted in a significant, deep way with an interdisciplinary group focused on big questions will be more, not less, appealing to graduate schools or other specialty pursuits.",156
p0028,Part 3: The Curriculum,Overview,,,16,text,"For certain disciplines, students oriented towards graduate school may also need to use some electives, guided independent studies, research, online courses and Study Abroad courses to deepen expertise beyond the number of courses required for the disciplinary specialization.",38
p0029,Part 3: The Curriculum,Overview,,,16,text,"To ensure that Duke Kunshan University students develop the ability to communicate effectively, guided practice in writing and speaking are built into the fabric of the curriculum. All three Divisional Foundations sequences provide opportunities for students to practice the specialized discourse of their chosen field, while Common Core courses help students learn to communicate as scholars and professionals to broader audiences. Toward the end of their undergraduate studies, all students take on more advanced writing and speaking challenges as part of their signature work and capstone projects.",87
p0030,Part 3: The Curriculum,Key Components,,,17,text,"The Duke Kunshan University undergraduate curriculum emphasizes shared knowledge and experience, integrated learning and deep learning, and flexible pathways. The key components are:",23
p0031,Part 3: The Curriculum,Key Components,Structures,,17,text,"Divisional areas of knowledge organize the faculty and the curriculum – Natural and Applied Sciences; Social Sciences; and Arts and Humanities – rather than traditional majors or departments. • Intensive 7-week terms enable students to take two in-depth courses with the flexibility to take some courses in 14-week blocks. • Fridays are designed for practica, field trips, internships, co-curricular activities, and civic engagement. • Mini-term courses provide a focused exposure to a single topic while enabling students to move outside of their comfort zones. There are no grades for these non-credit courses. • Seminars of fewer than 20 students are the primary mechanism for instruction and the means by which excellence in writing, speaking and listening are nurtured, supplemented by courses in English for Academic Purposes.",126
p0032,Part 3: The Curriculum,Key Components,Core Components,,17,text,"Common Core courses required of all students focus on big questions and critical challenges. Students take one per year for three years. • Language courses required in English, Chinese or potentially a third language. • Majors that have interdisciplinary and disciplinary components, with the former serving as the entry point and primary definition of a students’ academic community and the latter providing specialized training, as well as divisional foundation courses that prepare students for advanced study and signature work that focuses on a question, problem or issue and includes independent research, a senior thesis or creative production. • Electives that broaden students’ educational experience via simple distributional requirements and additionally enable them either to develop greater specialized knowledge or to further increase the breadth of their study. • Experiential learning opportunities that align the formal curriculum with practica, internships and other hands-on offerings are required.",145
p0033,Part 3: The Curriculum,Key Components,Core Components,,17,text,"These components are reflected in specific requirements: General Education: 3 common core courses (12 credits), 2-4 language courses (8-16 credits) depending on proficiency, 3 electives (12 credits) as distributional requirements, and one Quantitative Reasoning course (4 credits) Major: 16-19 courses (64 to 76 credits) (foundation, interdisciplinary, disciplinary, and capstone) • Electives: 8-13 courses (32 to 52 credits) depending on division and language proficiency, which include the three electives as distributional requirements and one Quantitative Reasoning course in General Education • Other requirements: 1 non-credit mini-term course and 1 Signature Work project that includes a practice-oriented Experiential Learning component (internships, civic engagement, etc.) Students who complete Duke Kunshan University’s 4-year undergraduate curriculum will receive two degrees, one from Duke University and one from Duke Kunshan University. A total of 136 Duke Kunshan University credits is required for graduation with a Duke Kunshan University bachelor’s degree,1 which is equivalent to 34 Duke University course credits (1 Duke course credit is equivalent to 4 Duke Kunshan University credits).",165
p0034,Part 3: The Curriculum,Key Components,Core Components,,17,text,A total of 34 Duke University course credits is required for graduation with a Duke bachelor’s degree. More details on the course credit requirement are explained below in the Degree Requirement section.,32
p0035,Part 3: The Curriculum,Key Components,Core Components,,18,text,"1 There are additional MOE requirements for the Chinese mainland and Hong Kong, Macau, Taiwan students to obtain a Duke Kunshan University bachelor’s degree. See section on Credits Required for Degrees.",31
p0036,Part 3: The Curriculum,Key Components,Core Components,,19,text,a students from Chinese Mainland and HMT b optional for international students c students from HMT may substitute additional CHSC courses for military training,24
p0037,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Common Core (3 courses, 12 credits)",20,text,"Common Core courses provide opportunities for students to develop a degree of common knowledge and shared experiences. One dimension of this commonality is a set of core courses that focus on big questions and critical challenges with which every student should be prepared to engage. Engagement will draw from and integrate humanistic and scientific knowledge, including its historical context and cultural traditions of thought about value, the nature of reality, and what it is to be human. Such knowledge is both a means for addressing challenges and a pre-requisite for identifying what our challenges are and how we might address them. Common Core courses also provide regular instruction and guided practice in writing and speaking for non-specialist audiences. Students take these courses one per year, in sequence, so that the common experience and development of communication skills extend across time. The three common core courses are China in the World (Year 1), Global Challenges in Science, Technology and Health (Year 2), and Ethics, Citizenship and the Examined Life (Year 3).",170
p0038,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Common Core (3 courses, 12 credits)",20,text,"In order to promote the common experience among the same class of students, these three common core courses must be taken during the Fall or Spring term in the designated year of study.",33
p0039,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Distribution Requirement (3 courses, 12 credits)",20,text,"The distributional requirement is intended to broaden students’ educational experience and ensure that all graduates have an acquaintance with a broad variety of fields of inquiry and approaches to knowledge. Students are required to take at least one four-credit course 2 in each of the three divisional areas: arts and humanities, natural and applied sciences, and social sciences. Courses that fulfill the distribution requirement are designated by divisional area attributes. The distribution requirement cannot be fulfilled with AP or IPC credits.",81
p0040,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Distribution Requirement (3 courses, 12 credits)",20,text,1. Courses with two divisional area attributes can be only counted as one area attribute; 2. Courses with both a Quantitative Reasoning (QR) attribute and a divisional area attribute can only be counted as one of these attributes; 3. Transfer credit from Duke or other academic institutions through study abroad or summer programs will need the review and approval from the division chair to fulfil the distributional requirement.,68
p0041,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Distribution Requirement (3 courses, 12 credits)",20,text,2 A student may fulfil the distribution requirement in a divisional area by taking two two-credit courses (four credits in total) with that divisional area attribute.,26
p0042,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Quantitative Reasoning Course Requirement (1 course, 4 credits)",21,text,The Quantitative Reasoning (QR) requirement aims to ensure that all students graduate with critical skills in quantitative analysis and deductive reasoning.,21
p0043,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Quantitative Reasoning Course Requirement (1 course, 4 credits)",21,text,"The QR requirement can be fulfilled by taking a course with the Quantitative Reasoning (QR) attribute3 or by approved transfer credit from study abroad or summer programs for computer science, mathematics, or statistics courses. Transfer credit requires the review and approval from the appropriate division chair to fulfil the distributional requirement. The QR requirement cannot be fulfilled by AP or IPC credits.",62
p0044,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,text,"One of Duke Kunshan University’s goals is for students to graduate with strong skills in multiple languages, especially English and Chinese. To this end, all students are required to take 8-16 credits of foreign language courses appropriate to their needs.",40
p0045,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,text,"Duke Kunshan University’s medium of instruction is English, so it is imperative that all students have a strong command of English. Further, the ability to produce effective academic papers and presentations in English is especially important. Students whose secondary education was not in English medium schools will generally benefit from instruction in academic English skills, and will therefore be assigned to the English for Academic Purposes (EAP) track at Duke Kunshan University and be required to take two course sequences, EAP 101A and 101B and EAP 102A and 102B. Students can further develop their academic English skills by taking elective EAP courses and/or written and oral communication (WOC) courses.",109
p0046,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,text,"Students at Duke Kunshan University should also attain a high level in Chinese, not only because Duke Kunshan University is located in China, but also because Chinese is already one of the world’s most important global languages. For this reason, students who are not required to be in the EAP track and who do not yet have a strong academic and professional command of Chinese will be assigned to a Chinese as Second Language (CSL) track, and assigned to a course appropriate to their Chinese level based on the results of a Duke Kunshan University placement examination process. All CSL-track students are required to meet two criteria: they must take at least eight credits of Chinese language courses (normally four 2-credit courses), and they must successfully complete CHINESE 202B or a higher level course.",134
p0047,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,text,"That is to say, students who begin their Chinese study in CHINESE 101A are required to take Chinese courses until they complete CHINESE 202B; students who begin studying Chinese in CHINESE 201A or a higher-level course are required to take 8 credits, starting with and including whatever level course they are placed into. After satisfying their foreign language requirement, CSL-track students are encouraged to continue developing their Chinese language skills by taking higher level elective courses in Chinese, and",79
p0048,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,text,3 Courses with more than one attribute can only be counted as one of these attributes.,16
p0049,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",22,text,also by designing and carrying out Chinese learning plans either on their own or with guidance and support from the Writing and Language Studio.,24
p0050,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",22,text,"Students who enter Duke Kunshan University with such a strong command of both English and Chinese that they can readily do academic work in both languages - and that no appropriate EAP and CSL courses are offered for them - will not be assigned to either the EAP track or the CSL track. These students can satisfy their foreign language requirement in several ways. One option is to take advanced written and oral communication (WOC) courses. (Because the content of different sections of some WOC courses differ considerably, in some cases students are allowed to take more than one WOC course of the same course number if the course content of the two courses is different.) Another option is to take courses in an additional language.",126
p0051,Part 3: The Curriculum,Degree Requirements,General Education Requirements,"Language Courses (2-4 courses, 8-16 credits)",22,text,More information on language placement is in the Entrance Credit and Placement sections of Part 6.,16
p0052,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",,22,text,"Majors have interdisciplinary and disciplinary components, with the former serving as the entry point and primary definition of a students’ academic community and the latter providing specialized training, as well as divisional foundation courses that prepare students for advanced study and signature work that focuses on a question, problem or issue and includes independent research, a senior thesis or creative production.",61
p0053,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",,22,text,"Requirements for each major include Divisional Foundation Courses, Interdisciplinary Studies Courses, Disciplinary Studies Courses, Signature Work and Experiential Education. The detailed course requirements for each major are listed in Part 10: Majors and Courses.",34
p0054,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",,22,text,"Students are responsible for meeting the requirements of a major as stated in the bulletin for the year in which they matriculated at DKU;4 however, they have the option of meeting requirements in the major changed subsequent to the students’ matriculation.",41
p0055,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)","Divisional Foundation Courses (2 to 4 courses, 8 to 16 credits, depending on major)",22,text,Divisional Foundation courses provide opportunities to develop knowledge and skills essential to advanced work in each division.,17
p0056,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)","Interdisciplinary Studies (4 to 7 courses, 16 to 28 credits, depending on major)",22,text,"Interdisciplinary courses are characterized by distinct curricular pathways spanning several traditional disciplines. These are broad but defined areas of study that encourage integrative and multidisciplinary habits of inquiry and knowledge acquisition. The interdisciplinary component of a major serves as a primary definition of the student’s academic community. It requires 4 to 7 courses and might be problem-focused, comparative and cross-cultural, or innovative fusions",63
p0057,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)","Interdisciplinary Studies (4 to 7 courses, 16 to 28 credits, depending on major)",22,text,4 Students in the Class of 2022 should follow the AY 2019-20 Undergraduate Bulletin because some of the courses in the original requirements may no longer exist.,27
p0058,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)","Interdisciplinary Studies (4 to 7 courses, 16 to 28 credits, depending on major)",23,text,"within or across divisions. In the social sciences and the arts and humanities communities, students in their 3rd and/or 4th years will undertake advanced seminars that enable them to integrate their studies from more specialized areas.",36
p0059,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)","Disciplinary Studies (4 to 8 courses, 16 to 32 credits, depending on major)",23,text,"Students will also develop a disciplinary study, which often will map to the tools and methods of a traditional discipline and further enable students to be competitive for graduate school or other advanced work.",34
p0060,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",Signature Work and Experiential Education (8 credits and one Experiential Learning activity),23,text,"Duke Kunshan University graduates will have experience addressing complex problems outside the classroom as well as within, developing these skills through “Signature Work”. Signature Work encourages students to seek creative alignments between curricular pathways and to engage in experiential learning that leads to the creation of knowledge and products for scholarly, private sector and public audiences.",56
p0061,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",Signature Work and Experiential Education (8 credits and one Experiential Learning activity),23,text,"Signature Work calls for each student to identify one or more questions, problems, or issues that are of particular importance to him or herself and to society, and to investigate these through a combination of curricular and related co-curricular experiences. Students develop guided pathways, identify questions, and undertake projects early in their academic career. During the sophomore year students work with their advisors and faculty mentors to begin identifying the major questions, problems, or issues on which they would like to work, and to develop a pathway that includes three thematically linked courses drawn from students' interdisciplinary studies, disciplinary studies or electives, one or more co-curricular or experiential activities, and two capstone courses in which a student creates a substantial scholarly or creative signature product. Experiences derived from the co-curricular experiential learning component should establish, build on, solidify, or enhance academic work aligned with the Signature Work project. These experiences should help DKU undergraduate students prepare for their next steps beyond DKU.",162
p0062,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",Signature Work and Experiential Education (8 credits and one Experiential Learning activity),23,text,"Experiential learning activities might include, but are not limited to, internships, practica, laboratory work, creative arts-based project, entrepreneurship-based project, community-based fieldwork or other civic projects.",25
p0063,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",Signature Work and Experiential Education (8 credits and one Experiential Learning activity),23,text,"The Signature Work Project will vary across fields and disciplines, but will always include substantial scholarly writing, reflection on learning, and publicly visible results. A student's Signature Work topic will be identified by the end of the sophomore year, at the latest. In the junior and senior years, a student will create an e-portfolio that captures both the Signature Work Product a student has produced and a narrative explaining the larger inquiry informing their Signature Work Project. Further information is available in the Signature Work Guide.",86
p0067,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",Signature Work and Experiential Education (8 credits and one Experiential Learning activity),24,text,Two senior capstone incorporating mentored scholarly research and cocourses leading to signature product.,13
p0069,Part 3: The Curriculum,Degree Requirements,"Major Requirements (16-19 courses, 64-76 credits)",Signature Work and Experiential Education (8 credits and one Experiential Learning activity),24,text,One or more experiential activities after year one.,8
p0070,Part 3: The Curriculum,Degree Requirements,Credits Required for Degree,,24,text,"Duke Kunshan University adheres to the academic standards upheld by Duke University and the relevant requirements for graduation and degree awarding by the education administration authorities of China. All undergraduate students must meet the requirements of both Duke University and Duke Kunshan University before they can graduate and be awarded a graduation certificate and a bachelor’s degree from Duke Kunshan University, as well as a bachelor’s degree from Duke University.",70
