passage_id,chapter,chapter_num,chapter_short,section,subsection,heading,matrix_section,page,kind,text,word_count,cluster,cluster_name,x,y,neighbors,neighbor_sims,section_typicality
p0011,Part 1: General Information,1,P1 General Information,Who We Are,,,Who We Are,12,text,"Duke Kunshan University is a place for learning, living and self-discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high-speed rail and highways, the city of Kunshan is a center for business and high-tech research and manufacturing, and it has one of the fastest-growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state-of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities. Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus.",138,5,Campus Life & DKU Identity,5.1845,9.2515,p0007|p0009|p0082|p0001|p0022,0.746|0.727|0.721|0.719|0.716,0.8446000218391418
p0012,Part 1: General Information,1,P1 General Information,Partners,Duke University,,Partners,12,text,"A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs.",66,8,"Credit Transfer, Placement & Study Away",4.0241,9.6176,p0034|p0332|p0013|p0007|p0077,0.734|0.706|0.703|0.667|0.646,0.6165000200271606
p0013,Part 1: General Information,1,P1 General Information,Partners,Duke University,,Partners,12,text,"Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke-NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue servicelearning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”",80,5,Campus Life & DKU Identity,4.5327,9.403,p0012|p0082|p0007|p0332|p0011,0.703|0.694|0.658|0.634|0.631,0.7628999948501587
p0014,Part 1: General Information,1,P1 General Information,Partners,Wuhan University,,Partners,12,text,"Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education. The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University. Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.",94,5,Campus Life & DKU Identity,4.961,9.3314,p0007|p0008|p0005|p0010|p0539,0.557|0.488|0.474|0.450|0.447,0.6983000040054321
p0015,Part 1: General Information,1,P1 General Information,Partners,Wuhan University,,Partners,13,text,"The university enjoys partnerships with more than 400 universities and research institutes in over 45 countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering.",41,5,Campus Life & DKU Identity,4.4097,10.2262,p0005|p0149|p0072|p0082|p0071,0.567|0.528|0.516|0.515|0.513,0.6733999848365784
p0016,Part 1: General Information,1,P1 General Information,Partners,Kunshan,,Partners,13,text,"Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county-level administrations. It ranked No 1 in the 25 Best County-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services. It also has received titles and awards such as a National Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology.",167,5,Campus Life & DKU Identity,5.1119,9.3503,p0011|p0082|p0096|p0022|p0007,0.530|0.506|0.485|0.476|0.466,0.6065999865531921
p0017,Part 1: General Information,1,P1 General Information,Partners,Kunshan,,Partners,13,text,"Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's oldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.",56,5,Campus Life & DKU Identity,5.1214,9.0222,p0356|p0360|p0001|p0006|p0640,0.538|0.487|0.437|0.418|0.411,0.4993000030517578
p0018,Part 1: General Information,1,P1 General Information,Duke Kunshan University Community Standard,,,Other (P1),13,text,"All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co-curricular endeavors. Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust. To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.",136,5,Campus Life & DKU Identity,4.6374,9.414,p0375|p0006|p0001|p0082|p0131,0.817|0.799|0.775|0.746|0.733,0.8069999814033508
p0019,Part 2: A Liberal Arts Education at Duke Kunshan University,2,P2 Liberal Arts Education,A 21st Century Curriculum,,,Other (P2),14,text,"The Duke Kunshan University curriculum begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem-solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to interrogate that knowledge and apply it flexibly. It is also deeply cross-cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.",119,5,Campus Life & DKU Identity,5.388,9.1858,p0008|p0022|p0009|p0025|p0005,0.848|0.831|0.807|0.807|0.806,0.8878999948501587
p0020,Part 2: A Liberal Arts Education at Duke Kunshan University,2,P2 Liberal Arts Education,A Liberal Arts College Experience,,,Other (P2),14,text,"The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection between faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one-on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s. Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.",153,5,Campus Life & DKU Identity,5.5322,9.1229,p0025|p0005|p0022|p0325|p0019,0.773|0.751|0.728|0.726|0.725,0.8284000158309937
p0021,Part 2: A Liberal Arts Education at Duke Kunshan University,2,P2 Liberal Arts Education,Dual Degrees,,,Other (P2),14,text,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,92,8,"Credit Transfer, Placement & Study Away",3.7698,10.1164,p0070|p0153|p0071|p0136|p0007,0.868|0.799|0.785|0.783|0.782,0.6664000153541565
p0022,Part 2: A Liberal Arts Education at Duke Kunshan University,2,P2 Liberal Arts Education,Animating Principles,,,Other (P2),14,text,"Duke Kunshan University provides a 21st century liberal arts and sciences education that helps students develop a sense of social responsibility and global citizenship, as well as strong and transferable intellectual and practical skills such as communication, analytical and problem-solving skills, and a demonstrated ability to apply knowledge and skills in real-world settings.",53,5,Campus Life & DKU Identity,5.2444,9.0835,p0008|p0019|p0009|p0001|p0005,0.835|0.831|0.831|0.785|0.784,0.8621000051498413
p0023,Part 2: A Liberal Arts Education at Duke Kunshan University,2,P2 Liberal Arts Education,Animating Principles,,,Other (P2),15,text,"The overarching goals are embedded in the seven animating principles that are expressed throughout the curriculum: Rooted Globalism: To cultivate informed and engaged citizens who are knowledgeable about each other’s histories, traditions of thought and affiliations; and skilled in navigating among local, national and global identities and commitments. • Collaborative Problem-Solving: To instill the habits of collaboration and the ability to synthesize disparate insights in solving complex challenges. • Research and Practice: To enhance the ability to forge links between theory and practice in the many-sided and rapidly changing world of human need. • Lucid Communication: To develop the ability to communicate effectively, both orally and in writing, and to listen attentively to different viewpoints in coming to mature judgments. • Independence and Creativity: To nurture free inquiry, deep reflection and a drive to ask interesting questions and find compelling answers. • Wise Leadership: To shape thinkers and doers who possess the moral compass to guide communities and institutions toward a common good and who have the wisdom and technical competence to deal effectively with complexity. • A Purposeful Life:",180,4,Advising & Academic Support,7.5451,8.4457,p0024|p0027|p0061|p0353|p0037,0.609|0.581|0.568|0.551|0.543,0.6244000196456909
p0024,Part 2: A Liberal Arts Education at Duke Kunshan University,2,P2 Liberal Arts Education,Animating Principles,,,Other (P2),15,text,"To form reflective scholars who test their core beliefs, connect their course of study to big questions of meaning, and who build the capacity for lifelong learning and exploration.",29,4,Advising & Academic Support,7.4829,8.5764,p0023|p0027|p0061|p0026|p0032,0.609|0.572|0.536|0.505|0.500,0.6535999774932861
p0025,Part 3: The Curriculum,3,P3 The Curriculum,Overview,,,Overview,16,text,"The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientation. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter-disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners. This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure.",140,5,Campus Life & DKU Identity,5.5073,9.2691,p0019|p0005|p0022|p0020|p0009,0.807|0.784|0.783|0.773|0.761,0.7925999760627747
p0026,Part 3: The Curriculum,3,P3 The Curriculum,Overview,,,Overview,16,text,"The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdisciplinary community will be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students. (2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career. But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work.",157,9,Major Overviews & Tracks,7.7155,9.1396,p0056|p0027|p0052|p0058|p0391,0.770|0.744|0.654|0.622|0.622,0.824999988079071
p0027,Part 3: The Curriculum,3,P3 The Curriculum,Overview,,,Overview,16,text,"The dual structure is also flexible, to accommodate a variety of student goals and outcomes. Some students might choose to pursue a less deep path in the disciplinary specialization while focusing more on developing broad expertise in the questions underlying the interdisciplinary community— and in that case the outcome can be a powerful kind of integrative education for students whose goal is not graduate school or specialized study, which is where a great many careers and life paths lie. This approach allows for a highly integrative, team-based approach to problem solving and knowledge acquisition. For students oriented towards graduate study, the integrative and out-looking approach in the interdisciplinary community broadens and enriches their deeper specialist expertise. Our strong expectation is that a student with deep expertise who also has interacted in a significant, deep way with an interdisciplinary group focused on big questions will be more, not less, appealing to graduate schools or other specialty pursuits.",156,4,Advising & Academic Support,7.694,9.0869,p0026|p0056|p0061|p0391|p0023,0.744|0.664|0.607|0.604|0.581,0.7833999991416931
p0028,Part 3: The Curriculum,3,P3 The Curriculum,Overview,,,Overview,16,text,"For certain disciplines, students oriented towards graduate school may also need to use some electives, guided independent studies, research, online courses and Study Abroad courses to deepen expertise beyond the number of courses required for the disciplinary specialization.",38,4,Advising & Academic Support,7.4617,9.4827,p0032|p0059|p0400|p0422|p0052,0.664|0.643|0.581|0.580|0.544,0.7301999926567078
p0029,Part 3: The Curriculum,3,P3 The Curriculum,Overview,,,Overview,16,text,"To ensure that Duke Kunshan University students develop the ability to communicate effectively, guided practice in writing and speaking are built into the fabric of the curriculum. All three Divisional Foundations sequences provide opportunities for students to practice the specialized discourse of their chosen field, while Common Core courses help students learn to communicate as scholars and professionals to broader audiences. Toward the end of their undergraduate studies, all students take on more advanced writing and speaking challenges as part of their signature work and capstone projects.",87,5,Campus Life & DKU Identity,5.704,9.6225,p0045|p0025|p0009|p0019|p0060,0.667|0.657|0.642|0.630|0.630,0.7005000114440918
p0030,Part 3: The Curriculum,3,P3 The Curriculum,Key Components,,,Key Components,17,text,"The Duke Kunshan University undergraduate curriculum emphasizes shared knowledge and experience, integrated learning and deep learning, and flexible pathways. The key components are:",23,5,Campus Life & DKU Identity,5.3952,9.1799,p0009|p0019|p0022|p0025|p0008,0.773|0.758|0.750|0.740|0.728,0.7585999965667725
p0031,Part 3: The Curriculum,3,P3 The Curriculum,Key Components,Structures,,Key Components,17,text,"Divisional areas of knowledge organize the faculty and the curriculum – Natural and Applied Sciences; Social Sciences; and Arts and Humanities – rather than traditional majors or departments. • Intensive 7-week terms enable students to take two in-depth courses with the flexibility to take some courses in 14-week blocks. • Fridays are designed for practica, field trips, internships, co-curricular activities, and civic engagement. • Mini-term courses provide a focused exposure to a single topic while enabling students to move outside of their comfort zones. There are no grades for these non-credit courses. • Seminars of fewer than 20 students are the primary mechanism for instruction and the means by which excellence in writing, speaking and listening are nurtured, supplemented by courses in English for Academic Purposes.",126,4,Advising & Academic Support,6.8553,9.4809,p0032|p0080|p0029|p0388|p0194,0.713|0.636|0.610|0.601|0.570,0.6804999709129333
p0032,Part 3: The Curriculum,3,P3 The Curriculum,Key Components,Core Components,,Key Components,17,text,"Common Core courses required of all students focus on big questions and critical challenges. Students take one per year for three years. • Language courses required in English, Chinese or potentially a third language. • Majors that have interdisciplinary and disciplinary components, with the former serving as the entry point and primary definition of a students’ academic community and the latter providing specialized training, as well as divisional foundation courses that prepare students for advanced study and signature work that focuses on a question, problem or issue and includes independent research, a senior thesis or creative production. • Electives that broaden students’ educational experience via simple distributional requirements and additionally enable them either to develop greater specialized knowledge or to further increase the breadth of their study. • Experiential learning opportunities that align the formal curriculum with practica, internships and other hands-on offerings are required.",145,4,Advising & Academic Support,7.1975,9.4554,p0031|p0028|p0053|p0052|p0037,0.713|0.664|0.624|0.623|0.621,0.7409999966621399
p0033,Part 3: The Curriculum,3,P3 The Curriculum,Key Components,Core Components,,Key Components,17,text,"These components are reflected in specific requirements: General Education: 3 common core courses (12 credits), 2-4 language courses (8-16 credits) depending on proficiency, 3 electives (12 credits) as distributional requirements, and one Quantitative Reasoning course (4 credits) Major: 16-19 courses (64 to 76 credits) (foundation, interdisciplinary, disciplinary, and capstone) • Electives: 8-13 courses (32 to 52 credits) depending on division and language proficiency, which include the three electives as distributional requirements and one Quantitative Reasoning course in General Education • Other requirements: 1 non-credit mini-term course and 1 Signature Work project that includes a practice-oriented Experiential Learning component (internships, civic engagement, etc.) Students who complete Duke Kunshan University’s 4-year undergraduate curriculum will receive two degrees, one from Duke University and one from Duke Kunshan University. A total of 136 Duke Kunshan University credits is required for graduation with a Duke Kunshan University bachelor’s degree,1 which is equivalent to 34 Duke University course credits (1 Duke course credit is equivalent to 4 Duke Kunshan University credits).",165,8,"Credit Transfer, Placement & Study Away",3.6982,10.5416,p0077|p0153|p0239|p0071|p0072,0.826|0.789|0.775|0.773|0.772,0.8680999875068665
p0034,Part 3: The Curriculum,3,P3 The Curriculum,Key Components,Core Components,,Key Components,17,text,A total of 34 Duke University course credits is required for graduation with a Duke bachelor’s degree. More details on the course credit requirement are explained below in the Degree Requirement section.,32,8,"Credit Transfer, Placement & Study Away",3.5035,10.4096,p0239|p0077|p0071|p0072|p0153,0.806|0.796|0.772|0.743|0.740,0.6855999827384949
p0035,Part 3: The Curriculum,3,P3 The Curriculum,Key Components,Core Components,,Key Components,18,text,"1 There are additional MOE requirements for the Chinese mainland and Hong Kong, Macau, Taiwan students to obtain a Duke Kunshan University bachelor’s degree. See section on Credits Required for Degrees.",31,8,"Credit Transfer, Placement & Study Away",3.9862,10.4099,p0070|p0071|p0072|p0021|p0007,0.832|0.786|0.781|0.754|0.744,0.7501000165939331
p0036,Part 3: The Curriculum,3,P3 The Curriculum,Key Components,Core Components,,Key Components,19,text,a students from Chinese Mainland and HMT b optional for international students c students from HMT may substitute additional CHSC courses for military training,24,7,"Leave, Withdrawal & Fees",3.3558,11.3724,p0074|p0229|p0149|p0216|p0221,0.740|0.556|0.555|0.548|0.530,0.5935999751091003
p0037,Part 3: The Curriculum,3,P3 The Curriculum,Degree Requirements,General Education Requirements,"Common Core (3 courses, 12 credits)",Degree Requirements,20,text,"Common Core courses provide opportunities for students to develop a degree of common knowledge and shared experiences. One dimension of this commonality is a set of core courses that focus on big questions and critical challenges with which every student should be prepared to engage. Engagement will draw from and integrate humanistic and scientific knowledge, including its historical context and cultural traditions of thought about value, the nature of reality, and what it is to be human. Such knowledge is both a means for addressing challenges and a pre-requisite for identifying what our challenges are and how we might address them. Common Core courses also provide regular instruction and guided practice in writing and speaking for non-specialist audiences. Students take these courses one per year, in sequence, so that the common experience and development of communication skills extend across time. The three common core courses are China in the World (Year 1), Global Challenges in Science, Technology and Health (Year 2), and Ethics, Citizenship and the Examined Life (Year 3).",170,9,Major Overviews & Tracks,7.2745,9.3391,p0379|p0038|p0032|p0029|p0460,0.643|0.635|0.621|0.598|0.572,0.5928000211715698
p0038,Part 3: The Curriculum,3,P3 The Curriculum,Degree Requirements,General Education Requirements,"Common Core (3 courses, 12 credits)",Degree Requirements,20,text,"In order to promote the common experience among the same class of students, these three common core courses must be taken during the Fall or Spring term in the designated year of study.",33,2,"Grading, CR/NC & Academic Standing",7.0218,9.6292,p0037|p0032|p0054|p0081|p0388,0.635|0.556|0.516|0.511|0.494,0.6065000295639038
p0039,Part 3: The Curriculum,3,P3 The Curriculum,Degree Requirements,General Education Requirements,"Distribution Requirement (3 courses, 12 credits)",Degree Requirements,20,text,"The distributional requirement is intended to broaden students’ educational experience and ensure that all graduates have an acquaintance with a broad variety of fields of inquiry and approaches to knowledge. Students are required to take at least one four-credit course 2 in each of the three divisional areas: arts and humanities, natural and applied sciences, and social sciences. Courses that fulfill the distribution requirement are designated by divisional area attributes. The distribution requirement cannot be fulfilled with AP or IPC credits.",81,2,"Grading, CR/NC & Academic Standing",5.8131,10.5814,p0041|p0381|p0079|p0053|p0033,0.809|0.695|0.646|0.634|0.596,0.7239999771118164
p0040,Part 3: The Curriculum,3,P3 The Curriculum,Degree Requirements,General Education Requirements,"Distribution Requirement (3 courses, 12 credits)",Degree Requirements,20,text,1. Courses with two divisional area attributes can be only counted as one area attribute; 2. Courses with both a Quantitative Reasoning (QR) attribute and a divisional area attribute can only be counted as one of these attributes; 3. Transfer credit from Duke or other academic institutions through study abroad or summer programs will need the review and approval from the division chair to fulfil the distributional requirement.,68,2,"Grading, CR/NC & Academic Standing",5.4507,10.5897,p0043|p0048|p0041|p0039|p0154,0.697|0.651|0.643|0.584|0.581,0.6449000239372253
p0041,Part 3: The Curriculum,3,P3 The Curriculum,Degree Requirements,General Education Requirements,"Distribution Requirement (3 courses, 12 credits)",Degree Requirements,20,text,2 A student may fulfil the distribution requirement in a divisional area by taking two two-credit courses (four credits in total) with that divisional area attribute.,26,2,"Grading, CR/NC & Academic Standing",5.6991,10.5427,p0039|p0040|p0079|p0033|p0381,0.809|0.643|0.617|0.616|0.615,0.6615999937057495
p0042,Part 3: The Curriculum,3,P3 The Curriculum,Degree Requirements,General Education Requirements,"Quantitative Reasoning Course Requirement (1 course, 4 credits)",Degree Requirements,21,text,The Quantitative Reasoning (QR) requirement aims to ensure that all students graduate with critical skills in quantitative analysis and deductive reasoning.,21,9,Major Overviews & Tracks,5.7302,10.6308,p0043|p0381|p0040|p0409|p0033,0.711|0.543|0.502|0.383|0.378,0.43849998712539673
p0043,Part 3: The Curriculum,3,P3 The Curriculum,Degree Requirements,General Education Requirements,"Quantitative Reasoning Course Requirement (1 course, 4 credits)",Degree Requirements,21,text,"The QR requirement can be fulfilled by taking a course with the Quantitative Reasoning (QR) attribute3 or by approved transfer credit from study abroad or summer programs for computer science, mathematics, or statistics courses. Transfer credit requires the review and approval from the appropriate division chair to fulfil the distributional requirement. The QR requirement cannot be fulfilled by AP or IPC credits.",62,2,"Grading, CR/NC & Academic Standing",5.5832,10.6476,p0042|p0040|p0381|p0078|p0343,0.711|0.697|0.585|0.548|0.529,0.5708000063896179
